iter	Passed	Remaining
870	4371	647
871	4376	642
872	4381	637
873	4387	632
874	4391	627
875	4396	622
876	4401	617
877	4406	612
878	4411	607
879	4416	602
880	4421	597
881	4425	592
882	4430	587
883	4435	582
884	4441	577
885	4446	572
886	4451	567
887	4456	562
888	4460	556
889	4465	551
890	4470	546
891	4476	541
892	4481	536
893	4486	531
894	4490	526
895	4495	521
896	4501	516
897	4506	511
898	4511	506
899	4516	501
900	4520	496
901	4525	491
902	4530	486
903	4535	481
904	4540	476
905	4545	471
906	4550	466
907	4554	461
908	4560	456
909	4565	451
910	4570	446
911	4575	441
912	4579	436
913	4584	431
914	4589	426
915	4594	421
916	4599	416
917	4604	411
918	4608	406
919	4614	401
920	4619	396
921	4624	391
922	4629	386
923	4634	381
924	4638	376
925	4643	371
926	4648	366
927	4653	361
928	4659	356
929	4663	351
930	4668	345
931	4673	340
932	4678	336
933	4684	331
934	4690	326
935	4695	321
936	4701	316
937	4706	311
938	4710	306
939	4715	301
940	4720	295
941	4725	290
942	4730	285
943	4735	280
944	4740	275
945	4745	270
946	4750	265
947	4755	260
948	4759	255
949	4764	250
950	4768	245
951	4774	240
952	4779	235
953	4784	230
954	4789	225
955	4794	220
956	4798	215
957	4803	210
958	4808	205
959	4814	200
960	4819	195
961	4825	190
962	4829	185
963	4834	180
964	4839	175
965	4844	170
966	4849	165
967	4854	160
968	4859	155
969	4864	150
970	4869	145
971	4874	140
972	4879	135
973	4885	130
974	4890	125
975	4896	120
976	4901	115
977	4905	110
978	4910	105
979	4916	100
980	4921	95
981	4926	90
982	4931	85
983	4935	80
984	4940	75
985	4945	70
986	4951	65
987	4956	60
988	4961	55
989	4966	50
990	4970	45
991	4975	40
992	4981	35
993	4986	30
994	4991	25
995	4995	20
996	5000	15
997	5005	10
998	5010	5
999	5015	0
